,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
04015,1990,2376.0,,9940.0,,,,1232.0,1821.3,6150.7,2486.1,,,386.0,,7950.0,,,,-758.0,-168.7,4160.7,496.1,,,,False,,,,False,True,False,False,,
04017,1603,2706.0,,3461.0,,,,2315.0,1405.5,4661.9,3454.6,,,1103.0,,1858.0,,,,712.0,-197.5,3058.9,1851.6,,,,False,,,,True,True,False,False,,
04019,10000,13362.0,,17522.0,,,,14748.0,12989.1,28782.2,19574.0,,,3362.0,,7522.0,,,,4748.0,2989.1,18782.2,9574.0,,,,False,,,,False,True,False,False,,
04021,4457,6498.0,,13482.0,,,,4419.0,10424.4,13528.1,10877.2,,,2041.0,,9025.0,,,,-38.0,5967.4,9071.1,6420.2,,,,False,,,,True,False,False,False,,
04023,771,1668.0,,668.0,,,,2781.0,635.2,556.6,,,,897.0,,-103.0,,,,2010.0,-135.8,-214.4,,,,,True,,,,False,True,True,,,
04025,1253,1518.0,,9551.0,,,,2811.0,1599.0,6031.5,2652.5,,,265.0,,8298.0,,,,1558.0,346.0,4778.5,1399.5,,,,False,,,,False,False,False,False,,
04027,4793,8292.0,,8644.0,,,,7022.0,3445.3,16234.9,7204.8,,,3499.0,,3851.0,,,,2229.0,-1347.7,11441.9,2411.8,,,,False,,,,True,True,False,True,,
05001,210,66.0,,0.0,,,,32.0,10.0,,,,,-144.0,,-210.0,,,,-178.0,-200.0,,,,,,False,,,,False,False,,,,
05003,273,72.0,,0.0,,,,120.0,50.2,,,,,-201.0,,-273.0,,,,-153.0,-222.8,,,,,,False,,,,True,False,,,,
05005,59,36.0,,35.0,,,,18.0,2.7,,,,,-23.0,,-24.0,,,,-41.0,-56.3,,,,,,False,,,,False,False,,,,
05007,1939,2328.0,,1643.0,,,,3353.0,888.4,7926.3,1711.9,,,389.0,,-296.0,,,,1414.0,-1050.6,5987.3,-227.1,,,,True,,,,False,False,False,True,,
05009,196,42.0,,78.0,,,,95.0,8.8,,,,,-154.0,,-118.0,,,,-101.0,-187.2,,,,,,True,,,,True,False,,,,
05011,163,84.0,,0.0,,,,71.0,14.7,,,,,-79.0,,-163.0,,,,-92.0,-148.3,,,,,,False,,,,False,False,,,,
05013,16,12.0,,0.0,,,,0.0,,,,,,-4.0,,-16.0,,,,-16.0,,,,,,,False,,,,False,,,,,
05015,196,156.0,,444.0,,,,96.0,54.1,761.4,,,,-40.0,,248.0,,,,-100.0,-141.9,565.4,,,,,False,,,,False,False,False,,,
05017,763,234.0,,0.0,,,,159.0,126.6,378.7,,,,-529.0,,-763.0,,,,-604.0,-636.4,-384.3,,,,,False,,,,False,False,True,,,
05019,133,18.0,,135.0,,,,59.0,10.1,,,,,-115.0,,2.0,,,,-74.0,-122.9,,,,,,True,,,,True,False,,,,
05021,83,78.0,,0.0,,,,21.0,40.1,,,,,-5.0,,-83.0,,,,-62.0,-42.9,,,,,,False,,,,False,False,,,,
05023,110,162.0,,0.0,,,,47.0,132.6,9.3,,,,52.0,,-110.0,,,,-63.0,22.6,-100.7,,,,,False,,,,False,True,False,,,
05025,89,24.0,,0.0,,,,10.0,2.8,,,,,-65.0,,-89.0,,,,-79.0,-86.2,,,,,,False,,,,False,False,,,,
05027,152,90.0,,226.0,,,,66.0,50.4,,,,,-62.0,,74.0,,,,-86.0,-101.6,,,,,,False,,,,False,False,,,,
05029,93,150.0,,332.0,,,,114.0,42.4,,,,,57.0,,239.0,,,,21.0,-50.6,,,,,,False,,,,True,True,,,,
05031,1001,216.0,,225.0,,,,1105.0,43.5,833.9,371.3,,,-785.0,,-776.0,,,,104.0,-957.5,-167.1,-629.7,,,,True,,,,True,False,True,True,,
05033,503,438.0,,966.0,,,,1796.0,346.3,1704.4,,,,-65.0,,463.0,,,,1293.0,-156.7,1201.4,,,,,False,,,,False,False,False,,,
05035,694,420.0,,510.0,,,,968.0,29.5,1076.3,,,,-274.0,,-184.0,,,,274.0,-664.5,382.3,,,,,True,,,,False,False,False,,,
05037,134,18.0,,2.0,,,,88.0,22.8,,,,,-116.0,,-132.0,,,,-46.0,-111.2,,,,,,False,,,,True,True,,,,
05039,59,18.0,,0.0,,,,0.0,1.9,,,,,-41.0,,-59.0,,,,-59.0,-57.1,,,,,,False,,,,False,False,,,,
05041,151,102.0,,0.0,,,,48.0,26.1,,,,,-49.0,,-151.0,,,,-103.0,-124.9,,,,,,False,,,,False,False,,,,
05043,181,120.0,,0.0,,,,92.0,44.6,,,,,-61.0,,-181.0,,,,-89.0,-136.4,,,,,,False,,,,False,False,,,,
05045,811,930.0,,1683.0,,,,924.0,1371.7,3816.1,,,,119.0,,872.0,,,,113.0,560.7,3005.1,,,,,False,,,,True,False,False,,,
05047,113,60.0,,0.0,,,,98.0,12.6,,,,,-53.0,,-113.0,,,,-15.0,-100.4,,,,,,False,,,,True,False,,,,
05049,32,18.0,,0.0,,,,3.0,2.7,,,,,-14.0,,-32.0,,,,-29.0,-29.3,,,,,,False,,,,False,False,,,,
05051,892,378.0,,1184.0,,,,1336.0,256.5,1017.9,,,,-514.0,,292.0,,,,444.0,-635.5,125.9,,,,,True,,,,True,False,True,,,
05053,103,66.0,,0.0,,,,20.0,25.7,,,,,-37.0,,-103.0,,,,-83.0,-77.3,,,,,,False,,,,False,False,,,,
05055,410,54.0,,163.0,,,,142.0,7.1,595.1,,,,-356.0,,-247.0,,,,-268.0,-402.9,185.1,,,,,True,,,,True,False,True,,,
05057,205,78.0,,44.0,,,,39.0,34.1,,,,,-127.0,,-161.0,,,,-166.0,-170.9,,,,,,False,,,,False,False,,,,
05059,1038,978.0,,5235.0,,,,380.0,823.5,893.5,,,,-60.0,,4197.0,,,,-658.0,-214.5,-144.5,,,,,False,,,,False,False,False,,,
05061,267,144.0,,0.0,,,,111.0,25.9,499.4,,,,-123.0,,-267.0,,,,-156.0,-241.1,232.4,,,,,False,,,,False,False,False,,,
05063,545,54.0,,102.0,,,,116.0,16.5,,,,,-491.0,,-443.0,,,,-429.0,-528.5,,,,,,True,,,,True,False,,,,
