,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01053,282,368.0,,355.9,,292.0,148.0,,,,,257.2,,272.9,,,270.0,306.6,249.0,320.0,,364.5,250.3,,,,464.0,292.0,376.2,,,,,,284.1,216.2,,,,537.3,384.8,86.0,,73.9,,10.0,-134.0,,,,,-24.8,,-9.1,,,-12.0,24.6,-33.0,38.0,,82.5,-31.7,,,,182.0,10.0,94.2,,,,,,2.1,-65.8,,,,255.3,102.8,,True,,True,False,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01055,710,766.0,,842.8,,745.0,831.0,,,,,826.5,,602.4,,,978.0,685.9,707.5,297.5,,492.0,574.1,,,,833.0,686.0,943.5,,,,,,749.2,605.5,,,,810.5,1100.2,56.0,,132.8,,35.0,121.0,,,,,116.5,,-107.6,,,268.0,-24.1,-2.5,-412.5,,-218.0,-135.9,,,,123.0,-24.0,233.5,,,,,,39.2,-104.5,,,,100.5,390.2,,False,,True,False,,,,,False,,False,,,False,True,True,False,,False,False,,,,False,True,False,,,,,,True,False,,,,False,False
01057,138,214.0,,213.9,,161.0,205.0,,,,,103.4,,120.9,,,158.0,188.8,139.5,,,199.0,140.7,,,,212.0,152.0,134.3,,,,,,,124.9,,,,202.9,166.7,76.0,,75.9,,23.0,67.0,,,,,-34.6,,-17.1,,,20.0,50.8,1.5,,,61.0,2.7,,,,74.0,14.0,-3.7,,,,,,,-13.1,,,,64.9,28.7,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True,True
01059,162,178.0,,193.2,,161.0,140.0,,,,,232.4,,131.9,,,346.0,114.0,198.2,95.0,,100.0,127.1,,,,180.0,166.0,199.7,,,,,,129.5,148.8,,,,244.5,218.0,16.0,,31.2,,-1.0,-22.0,,,,,70.4,,-30.1,,,184.0,-48.0,36.2,-67.0,,-62.0,-34.9,,,,18.0,4.0,37.7,,,,,,-32.5,-13.2,,,,82.5,56.0,,False,,True,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,True,False,,,,,,False,True,,,,False,False
01061,216,214.0,,203.6,,180.0,151.0,,,,,151.6,,148.8,,,188.0,129.4,158.9,,,184.0,152.5,,,,194.0,189.0,210.7,,,,,,,148.7,,,,175.2,220.0,-2.0,,-12.4,,-36.0,-65.0,,,,,-64.4,,-67.2,,,-28.0,-86.6,-57.1,,,-32.0,-63.5,,,,-22.0,-27.0,-5.3,,,,,,,-67.3,,,,-40.8,4.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01063,47,44.0,,45.7,,43.0,24.0,,,,,44.4,,51.0,,,50.0,21.4,38.1,,,2.0,27.4,,,,48.0,38.0,75.8,,,,,,,55.7,,,,84.6,51.1,-3.0,,-1.3,,-4.0,-23.0,,,,,-2.6,,4.0,,,3.0,-25.6,-8.9,,,-45.0,-19.6,,,,1.0,-9.0,28.8,,,,,,,8.7,,,,37.6,4.1,,True,,False,False,,,,,True,,False,,,False,False,False,,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
01065,153,190.0,,206.9,,121.0,138.0,,,,,114.4,,133.9,,,113.0,78.1,131.1,,,104.0,112.9,,,,197.0,128.0,104.6,,,,,,,166.3,,,,257.1,197.0,37.0,,53.9,,-32.0,-15.0,,,,,-38.6,,-19.1,,,-40.0,-74.9,-21.9,,,-49.0,-40.1,,,,44.0,-25.0,-48.4,,,,,,,13.3,,,,104.1,44.0,,False,,True,True,,,,,False,,True,,,False,False,True,,,False,False,,,,False,True,False,,,,,,,True,,,,False,False
01067,147,136.0,,131.4,,114.0,62.0,,,,,109.0,,104.1,,,107.0,119.4,109.0,,,76.0,91.4,,,,170.0,130.0,136.4,,,,,,,127.9,,,,216.5,156.3,-11.0,,-15.6,,-33.0,-85.0,,,,,-38.0,,-42.9,,,-40.0,-27.6,-38.0,,,-71.0,-55.6,,,,23.0,-17.0,-10.6,,,,,,,-19.1,,,,69.5,9.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,True,,,,,,,False,,,,False,True
01069,712,864.0,,954.0,,666.0,656.0,,,,,677.5,,680.4,,,706.0,531.0,629.9,592.5,,573.0,549.8,,,,899.0,773.0,1094.2,,,,,,595.6,642.2,,,,943.6,860.3,152.0,,242.0,,-46.0,-56.0,,,,,-34.5,,-31.6,,,-6.0,-181.0,-82.1,-119.5,,-139.0,-162.2,,,,187.0,61.0,382.2,,,,,,-116.4,-69.8,,,,231.6,148.3,,False,,True,True,,,,,True,,True,,,True,False,True,True,,True,False,,,,False,True,False,,,,,,True,True,,,,False,True
01071,361,406.0,,378.2,,342.0,395.0,,,,,383.4,,323.5,,,474.0,175.2,330.1,161.0,,228.0,282.9,,,,393.0,328.0,325.0,,,,,,345.3,251.2,,,,443.8,546.4,45.0,,17.2,,-19.0,34.0,,,,,22.4,,-37.5,,,113.0,-185.8,-30.9,-200.0,,-133.0,-78.1,,,,32.0,-33.0,-36.0,,,,,,-15.7,-109.8,,,,82.8,185.4,,True,,True,True,,,,,True,,True,,,False,False,True,False,,False,False,,,,True,True,True,,,,,,True,False,,,,False,False
01073,3885,5364.0,,5363.7,5685.2,4174.0,4013.0,,,,,4537.2,,3627.2,,4329.3,4945.0,3052.9,5039.5,3919.0,,3685.0,3661.4,,,,5297.0,4143.0,4180.6,,,,,,3830.0,3559.2,3489.0,,,6256.7,5920.4,1479.0,,1478.7,1800.2,289.0,128.0,,,,,652.2,,-257.8,,444.3,1060.0,-832.1,1154.5,34.0,,-200.0,-223.6,,,,1412.0,258.0,295.6,,,,,,-55.0,-325.8,-396.0,,,2371.7,2035.4,,True,False,True,True,,,,,True,,True,,True,True,True,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,False,False
01075,68,48.0,,46.1,,45.0,30.0,,,,,63.3,,44.4,,,115.0,32.5,55.9,,,24.0,39.6,,,,48.0,47.0,60.4,,,,,,,56.4,,,,68.0,87.6,-20.0,,-21.9,,-23.0,-38.0,,,,,-4.7,,-23.6,,,47.0,-35.5,-12.1,,,-44.0,-28.4,,,,-20.0,-21.0,-7.6,,,,,,,-11.6,,,,-0.0,19.6,,False,,False,False,,,,,True,,False,,,False,False,True,,,False,False,,,,False,False,True,,,,,,,True,,,,True,True
01077,503,638.0,,655.9,,487.0,505.0,,,,,560.3,,479.1,,,771.0,432.8,523.6,234.5,,368.0,410.0,,,,663.0,565.0,509.2,,,,,,434.1,383.6,,,,776.2,713.1,135.0,,152.9,,-16.0,2.0,,,,,57.3,,-23.9,,,268.0,-70.2,20.6,-268.5,,-135.0,-93.0,,,,160.0,62.0,6.2,,,,,,-68.9,-119.4,,,,273.2,210.1,,False,,True,True,,,,,True,,True,,,False,True,True,False,,False,True,,,,False,True,True,,,,,,True,True,,,,False,False
